,Unnamed: 0,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Delta,Time0,TimeDelta,TimeIndy,TimeIndy0,TimeIndyDelta,Distance0,DistanceDelta,IndySpeed,SpeedDelta
562,564,2018-10-20 22:00:01.211,0 days 01:15:01.147000,,,74.295,11203,212,5,100,False,8,car,4.382711111111113,0.8014509515468745,OnTrack,3558.274261643326,1802.0837575086307,1348,12.162215015597997,74.283,0.012000000000000455,86.457215015598,86.44341914567445,0.013795869923541204,4.382004444444446,0.0007066666666668553,184.4030143876328,27.596985612367206
563,565,2018-10-20 22:00:01.450,0 days 01:15:01.386000,,,74.534,11602,218,5,100,False,8,car,4.397183888888891,0.8040937949180536,OnTrack,3619.40314666215,1672.9092125538539,1349,12.197758617557483,74.295,0.23900000000000432,86.73175861755749,86.457215015598,0.27454360195949334,4.382711111111113,0.014472777777777779,189.77677727010817,28.22322272989183
564,566,2018-10-20 22:00:01.499,0 days 01:15:01.435000,,,74.583,11755,223,5,100,False,8,pos,4.400219166666668,0.8046524327951916,OnTrack,3630.615689393533,1644.993486118777,1350,12.20501190131207,74.534,0.04899999999999238,86.78801190131207,86.73175861755749,0.05625328375458594,4.397183888888891,0.0030352777777773454,194.2464380865169,28.75356191348311
565,567,2018-10-20 22:00:01.690,0 days 01:15:01.626000,,,74.774,11909,228,5,100,False,8,car,4.412315833333334,0.8068694348027203,OnTrack,3669.484111826407,1531.1707718500688,1352,12.233331354179512,74.583,0.1910000000000025,87.00733135417951,86.78801190131207,0.21931945286743826,4.400219166666668,0.012096666666666422,198.55967827131383,29.440321728686172
566,568,2018-10-20 22:00:01.799,0 days 01:15:01.735000,,,74.883,11916,228,5,100,False,8,pos,4.419219166666667,0.8081293085895664,OnTrack,3687.456817778252,1464.6708811321066,1354,12.249612508378426,74.774,0.10899999999999466,87.13261250837843,87.00733135417951,0.12528115419891606,4.412315833333334,0.006903333333332817,198.369819937476,29.630180062524005
567,569,2018-10-20 22:00:01.930,0 days 01:15:01.866000,,,75.014,11924,229,5,100,False,8,car,4.427552222222222,0.8096572485465305,OnTrack,3705.0789228049725,1383.3296401080574,1355,12.269397836063794,74.883,0.13100000000000023,87.28339783606378,87.13261250837843,0.15078532768535524,4.419219166666667,0.008333055555555191,198.9517180517577,30.048281948242305
568,570,2018-10-20 22:00:02.099,0 days 01:15:02.035000,,,75.183,11353,233,5,100,False,8,pos,4.438490277777778,0.8116878948246736,OnTrack,3721.35503017863,1275.3819361101482,1357,12.295429919731978,75.014,0.16900000000001114,87.47842991973198,87.28339783606378,0.19503208366819536,4.427552222222222,0.010938055555556048,201.90011437806905,31.09988562193095
569,571,2018-10-20 22:00:02.131,0 days 01:15:02.067000,,,75.215,10782,237,6,100,False,8,car,4.440596944444445,0.8120736074132314,OnTrack,3723.56807513204,1254.485480386409,1357,12.300436080420983,75.183,0.031999999999996476,87.51543608042098,87.47842991973198,0.03700616068900331,4.438490277777778,0.002106666666666257,204.93884960760533,32.061150392394666
570,572,2018-10-20 22:00:02.371,0 days 01:15:02.307000,,,75.455,10964,237,6,100,False,8,car,4.456396944444444,0.8149588120301877,OnTrack,3730.2326508726815,1097.2964402470734,1358,12.338795375319052,75.215,0.23999999999999488,87.79379537531905,87.51543608042098,0.2783592948980669,4.440596944444445,0.015799999999999592,204.34022158601732,32.65977841398268
571,573,2018-10-20 22:00:02.399,0 days 01:15:02.335000,,,75.483,11022,239,6,100,False,8,pos,4.458255833333333,0.8152978848524361,OnTrack,3729.8241814408834,1078.7969604811547,1359,12.343365213763747,75.455,0.028000000000005798,87.82636521376375,87.79379537531905,0.03256983844470085,4.456396944444444,0.0018588888888890764,205.4661711436727,33.53382885632729
572,574,2018-10-20 22:00:02.610,0 days 01:15:02.546000,,,75.694,11081,241,6,100,False,8,car,4.472381111111111,0.817880487500161,OnTrack,3718.0232566298,938.6973612863865,1360,12.378449902654129,75.483,0.21099999999999852,88.07244990265413,87.82636521376375,0.24608468889037738,4.458255833333333,0.014125277777777612,206.64024336212094,34.35975663787906
573,575,2018-10-20 22:00:02.699,0 days 01:15:02.635000,,,75.783,11177,243,6,100,False,8,pos,4.478388611111111,0.8189863611967049,OnTrack,3708.196111887605,879.5778444489888,1361,12.393595947385409,75.694,0.08899999999999864,88.17659594738541,88.07244990265413,0.10414604473128009,4.472381111111111,0.0060074999999999434,207.6603106320769,35.339689367923114
574,576,2018-10-20 22:00:02.850,0 days 01:15:02.786000,,,75.934,11274,246,6,100,False,8,car,4.488706944444444,0.8208752568494067,OnTrack,3684.5552484813297,779.2201751704206,1363,12.419758905389383,75.783,0.15099999999999625,88.35375890538938,88.17659594738541,0.17716295800397575,4.478388611111111,0.010318333333333207,209.67136933424842,36.328630665751575
575,577,2018-10-20 22:00:02.999,0 days 01:15:02.935000,,,76.083,11274,246,6,100,False,8,pos,4.498888611111111,0.8227366513364778,OnTrack,3652.8659395529644,682.3037705064551,1366,12.446057476721894,75.934,0.1490000000000009,88.52905747672189,88.35375890538938,0.1752985713325046,4.488706944444444,0.010181666666666978,209.09468754583386,36.905312454166136
576,578,2018-10-20 22:00:03.090,0 days 01:15:03.026000,,,76.174,11274,247,6,100,False,8,car,4.5051322222222225,0.8238822000577959,OnTrack,3629.366782014723,624.3199427270017,1367,12.462298496749586,76.083,0.09100000000000819,88.63629849674959,88.52905747672189,0.10724102002770053,4.498888611111111,0.006243611111111491,209.5933066861498,37.40669331385021
